smiles_canonical,qm_q_ionizableN,qm_dipole_D,qm_polarizability,qm_homo_lumo_eV,qm_dGsolv_kJmol,qm_dGsolv_head,qm_dGsolv_tail,qm_Ehedup
CCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCCCCCCC)c1,-0.19521542,5.694,586.775033,2.98269029,-41.01628308316754,-44.52562944811625,-23.083214975797546,-492.9415931694419
CCCCC(CC)COc1cc(OCC(CC)CCCC)cc(C(=O)OCCCCN2CCN(C)CC2)c1,-0.1854702,3.104,399.983129,1.70362751,-36.50871097686997,-7.944172212660824,-53.05636461568007,-504.9353216771336
CCCCCCCCCCCCCCCOC1=CCCCCCN2C=CC=CC=C3CCCCCN4CCCC(=O)OCCOCCOCCOc5cc(cc(c5OCCOCCOCCOC3)OCCOCCOCCOC(=O)CCC2)C(=O)OCC(=C1)C=C4OCCCCCCCCCCC,-0.06787472,15.572,1034.575609,1.44100265,-140.62502974108713,,-116.17068748052851,-484.9196679464857
CCCCC(CC)COc1cc(CNC(=O)CCCN2CCN(CCO)CC2)cc(OCC(CC)CCCC)c1OCC(CC)CCCC,-0.19284918,6.63,518.733875,3.3965966,-86.08569225344338,-76.20416323744416,-31.815360091550655,-513.0645773236265
CCCCCCCCCCCCCCCCOCC(COCCCCCCCCCCCCCCCC)(COCCCCCCCCCCCCCCCC)COC(=O)CCCN1CCN(CCO)CC1,-0.19061421,4.815,779.245104,2.94049488,-64.03851880649489,-67.43434268027198,-33.41132994781353,-446.9862134307913
CCCCC(CC)COC1=CCCN(C)CCN2CCCC(=O)OCC(=C1)C=C2OCCCCC(C)CC,-0.19131387,4.642,399.583638,2.51821019,-41.45069052538921,-36.61915983241686,-26.79654518434092,-486.90472942911714
CCCCC(CC)COc1ccc(C(=O)OCCCCN2CCN(CCO)CC2)cc1OCC(CC)CCCC,-0.18317209,2.816,416.284701,1.86787179,-61.95595884492197,-22.428724564892438,-52.896707843227084,-488.86238069585795
CCCCCCCCCCCCCCCCCOC1=CCCCCCN2C=CC=CC=C3CCCCCN4CCCC(=O)OCCOCCOCCOc5cc(cc(c5OCCOCCOCCOC3)OCCOCCOCCOC(=O)CCC2)C(=O)OCC(=C1)C=C4OCCCCCCCCCCC,-0.06998443,6.15,1058.386004,1.27971043,-123.56270786979775,,-116.17068748052851,-499.12320070247154
CCCCC(CC)COc1cc(COC(=O)CCN2CCN(CCO)CC2)cc(OCC(CC)CCCC)c1OCC(CC)CCCC,-0.20777074,6.73,502.488659,3.02113706,-50.49478570461912,-68.90153072307852,-31.815360091550655,-460.96201035154667
CCCCCCCCOCC(COCCCCCCCC)(COCCCCCCCC)COC(=O)CCCN1CCN(CCO)CC1,-0.18512031,5.332,499.236892,3.12830323,-54.35351641182345,-67.43434268027198,-31.652049878643286,-498.1877351951595
CCCCCCCCCOC1=CCCN(C)CCN2CCCC(=O)OCC(=C1)C=C2OCCCCCCCCC,-0.18622331,6.869,423.092472,3.08564564,-40.91373203497539,-36.61915983241686,-27.04042852744032,-520.9463533778304
CCCCCCCCCCCCCCCCCCOc1cc(OCCCCCCCCCCCCC)cc(C(=O)OCCCCN2CCN(C)CC2)c1,-0.19193705,2.643,575.214414,1.56058002,-39.72193980232477,-7.944172212660824,-53.49569428416533,-484.69739315042733
