smiles_canonical,qm_q_ionizableN,qm_dipole_D,qm_polarizability,qm_homo_lumo_eV,qm_dGsolv_kJmol,qm_dGsolv_head,qm_dGsolv_tail,qm_Ehedup
CCCCCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)Cc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc3ccccc3)c2C(=O)NCc2cc(OCCOCCOCCOC(=O)Cc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc3ccccc3)c2C(=O)NCc2cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c2)cc(OCCCCCCCCCCCC)c1,,,,,,,,
CCCCCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc3ccccc3)c2C(=O)NCc2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc3ccccc3)c2C(=O)NCc2cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c2)cc(OCCCCCCCCCCCC)c1,,,,,,,,
CCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCCCCC)c1,-0.18772254,8.346,876.27187,2.39554354,-122.398815789575,,-123.54847382611082,-466.58089455559184
CCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCCCCCC)c1,-0.18472101,8.062,899.971176,2.14201778,-147.3292917593462,,-131.14255315819,-507.273066520944
CCCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCCCCCCC)c1,-0.16909505,3.398,922.872608,2.69005528,-133.74812157990905,,-142.85605583179745,-498.89782781696465
CCCCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCCCCCCCC)c1,-0.1983298,9.07,946.665305,2.69704727,-165.9043812680485,,-132.80082899488292,-539.0409815610724
CCCCC(CC)COc1cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCC(C)CC)c1,-0.19085098,7.965,876.200453,2.47410535,-122.97731148212804,,-130.9372139818173,-481.0481324913568
CC(C)CCCC(C)COc1cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCC(C)CCCC(C)C)c1,-0.18493865,7.777,899.740937,2.38147042,-121.9865078207339,,-127.11954638241296,-524.9134570183594
CCCCCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c2C(=O)NCc2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c2C(=O)NCc2cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c2)cc(OCCCCCCCCCCCC)c1,-0.18391168,8.35,1968.865464,1.84847831,-236.12661334770957,,-287.5901004730656,
CCCCCCCCCCOc1cc(COC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c2C(=O)OCc2cc(OCCCCCCCCCC)cc(OCCCCCCCCCC)c2)cc(OCCCCCCCCCC)c1,-0.18758365,7.025,1253.466949,1.28223963,-149.56434758761557,,-147.23524024100914,-539.921967951822
CCCCCCCCCCCOc1cc(COC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c2C(=O)OCc2cc(OCCCCCCCCCCC)cc(OCCCCCCCCCCC)c2)cc(OCCCCCCCCCCC)c1,-0.18238643,7.939,1300.144682,1.69914047,-145.3642491441163,,-178.44606699336563,-499.00526326045673
CCCCCCCCCCCCOc1cc(COC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c2C(=O)OCc2cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c2)cc(OCCCCCCCCCCCC)c1,-0.18819569,10.719,1346.848392,1.4609988,-148.0255145887878,,-144.39588687754116,-529.6051985484871
CCCCCCCCCCCCOc1cc(CNC(=O)CC(COCCOCCOCOC(=O)CCCN(C)C)COCCOCCOCOC(=O)CCCN(C)C)cc(OCCCCCCCCCCCC)c1,-0.18396012,6.896,754.500886,2.58773023,-107.9580651433896,,-93.41217062375458,-536.9983428722061
CCCCC(CC)COc1cc(COC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c2C(=O)OCc2cc(OCC(CC)CCCC)cc(OCC(CC)CCCC)c2)cc(OCCCCC(C)CC)c1,-0.18697551,6.788,1160.089188,1.33845504,-143.36532093312792,,-146.9291104926911,-542.5050919883289
