row_id,IAJD_id,family_table,canonical_smiles,predicted_pKa,measured_pKa_v21,family_v21,pka_source
1065,IAJD91,sSS-Nonsym,CCCCCCCCCCOC1=CCCN(CCO)CCN2CCCC(=O)OCC(=C1)C=C2OCCCCCCCCCC,6.402925364887735,6.48,sSS-Nonsym,v21_loo
1066,IAJD_092,PE-Tris,CCCCC(CC)COCC(COCC(CC)CCCC)(COCC(CC)CCCC)COC(=O)CCCN1CCN(C)CC1,6.2003237457546465,6.03,PE-Tris,v21_loo
1067,IAJD_093,PE-Tris,CCCCC(CC)COCC(COCC(CC)CCCC)(COCC(CC)CCCC)COC(=O)CCCN1CCN(CCO)CC1,6.168537101566611,6.28,PE-Tris,v21_loo
1068,IAJD95,sSS-Nonsym,CCCCC(CC)COC(=O)CCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCC(=O)OCC(CC)CCCC)c1,6.366498001670838,6.33,sSS-Nonsym,v21_loo
1069,IAJD_096,GA-Tris,CCCCC(CC)COc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCC(CC)CCCC)c1OCC(CC)CCCC,6.391293282422924,6.32,GA-Tris,v21_loo
1070,IAJD_097,GA-Tris,CCCCC(CC)COc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCC(CC)CCCC)c1OCC(CC)CCCC,6.379891509881639,6.48,GA-Tris,v21_loo
1071,IAJD98,sSS-Nonsym,CCCCCCCCCCCCCCCCCCOC1=CCCN(C)CCN2CCCC(=O)OCC(=C1)C=C2OCCCCCCCCCCCCCCCCCC,6.386909232983736,6.25,sSS-Nonsym,v21_loo
1072,IAJD99,sSS-Nonsym,CCCCCCCCCCCCCCCCCCOC1=CCCN(CCO)CCN2CCCC(=O)OCC(=C1)C=C2OCCCCCCCCCCCCCCCCCC,6.4229702632749,6.31,sSS-Nonsym,v21_loo
1073,IAJD_100,PE-Tris,CCCCCCCCCCCCCCCCOCC(COCCCCCCCCCCCCCCCC)(COCCCCCCCCCCCCCCCC)COC(=O)CCCN1CCN(C)CC1,6.343152892326886,6.12,PE-Tris,v21_loo
1074,IAJD_101,PE-Tris,CCCCCCCCCCCCCCCCOCC(COCCCCCCCCCCCCCCCC)(COCCCCCCCCCCCCCCCC)COC(=O)CCCN1CCN(CCO)CC1,6.398129804420472,6.32,PE-Tris,v21_loo
1075,IAJD_105,Dialkoxybenzyl,CCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCC)c1,6.442230089378356,6.5,Dialkoxybenzyl,v21_loo
1076,IAJD_106,Dialkoxybenzyl,CCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCCC)c1,6.459741146850586,6.32,Dialkoxybenzyl,v21_loo
1077,IAJD_107,Dialkoxybenzyl,CCCCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCCC)c1,6.438775454330444,6.42,Dialkoxybenzyl,v21_loo
1078,IAJD_108,sSS-Nonsym,CCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCCCCC)c1,6.435472830200196,6.59,sSS-Nonsym,v21_loo
1079,IAJD110,G1-Janus-Dendrimer,CCCCCCCCCCCCOC1=CCCCCCN2C=CC=CC=C3CCCCCN4CCCC(=O)OCCOCCOCCOc5cc(cc(c5OCCOCCOCCOC3)OCCOCCOCCOC(=O)CCC2)C(=O)OCC(=C1)C=C4OCCCCCCCCCCCC,7.422821751867137,7.64,G1-Janus-Dendrimer,v21_loo
1080,IAJD111,G1-Janus-Dendrimer,CCCCCCCCCCCOC1=CCCCCCN2C=CC=CC=C3CCCCCN4CCCC(=O)OCCOCCOCCOc5cc(cc(c5OCCOCCOCCOC3)OCCOCCOCCOC(=O)CCC2)C(=O)OCC(=C1)C=C4OCCCCCCCCCCC,7.433252220916909,7.58,G1-Janus-Dendrimer,v21_loo
1081,IAJD112,sSS-Nonsym,CCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCC)c1,6.4501159479141235,6.4,sSS-Nonsym,v21_loo
1082,IAJD_113,sSS-Nonsym,CCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCC)c1,6.523957718276978,6.52,sSS-Nonsym,v21_loo
1083,IAJD_114,sSS-Nonsym,CCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCC)c1,6.446874750709533,6.43,sSS-Nonsym,v21_loo
1084,IAJD_115,sSS-Nonsym,CCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCC)c1,6.533573110008239,6.32,sSS-Nonsym,v21_loo
1085,IAJD_116,sSS-Nonsym,CCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCC)c1,6.4483248338699335,6.51,sSS-Nonsym,v21_loo
