family,n,pKa_opt,curvature_b,a,rmse,note
Dialkoxybenzyl,18,11.99999945575935,0.013279187604505053,7.911909009853919,0.2315524026702839,optimum_at_boundary_no_clear_peak
G1-Janus-Dendrimer,27,11.999993980348428,0.061381698439679264,8.91388634416029,0.8357033464646876,optimum_at_boundary_no_clear_peak
GA-Tris,58,6.905102202131156,4.095596691194179,9.045561879945417,0.6358435956623756,
HTM-Dendrimer,10,3.0000000346335867,0.6231219817806882,13.471701938167511,0.5808711252699718,optimum_at_boundary_no_clear_peak
PE-Tris,51,3.0000000000000004,0.6800601716293343,14.913729101822305,1.1605883966760469,optimum_at_boundary_no_clear_peak
TT-Dendrimer,5,,,,,too_few_rows
sSS-Nonsym,175,6.448635512659434,23.133931628610004,7.739023043937892,0.5698096943166467,
