CPP_neutral,CPP_charged,delta_CPP,CPP_ratio,V_tail,l_tail,a_head_neutral,a_head_charged,delta_a_head,cone_angle_neutral,cone_angle_charged,delta_cone_angle,protonation_55,protonation_65,protonation_74,delta_protonation,effective_shape_change_55,effective_shape_change_65,n_tail_carbons,tail_fraction,head_tail_ratio,n_tails_approx,n_branch_points
1.530719684923607,1.1774766807104668,-0.35324300421314025,0.7692307692307692,1533.8,9.277891956136056,108.0,140.4,32.400000000000006,48.24261984329149,51.93880015503242,3.6961803117409247,0.8759682033019224,0.41391765234892974,0.08165126875814326,0.7943169345437792,0.3094296397295579,0.14621351501258611,56,0.8875,0.1267605633802817,4,0
1.6907961253093213,1.3006124040840932,-0.39018372122522815,0.7692307692307692,1533.8,8.399505794498852,108.0,140.4,32.400000000000006,51.053372476347256,54.668093259868044,3.614720783520788,0.8776860705269477,0.4177815467395508,0.08285194997813239,0.7948341205488153,0.3424588170657525,0.16301155856606953,56,0.8875,0.1267605633802817,4,0
0.5549310387002345,0.3468318991876466,-0.2080991395125879,0.6250000000000001,1533.8,12.79605109593039,216.0,345.6,129.60000000000002,48.95518167282844,55.459665446846984,6.504483774018546,0.870099249099068,0.40113251496106844,0.07776740378492777,0.7923318453141402,0.18106690502806494,0.08347533119391863,56,0.7954545454545454,0.2571428571428571,6,0
0.7992058571649535,0.49950366072809593,-0.2997021964368576,0.625,1533.8,8.88497733376886,216.0,345.6,129.60000000000002,58.84510230273944,64.4552001357741,5.610097833034665,0.8698080538316546,0.40051435901494603,0.07758300574699757,0.792225048084657,0.26068338421181536,0.12003503310127946,56,0.7954545454545454,0.2571428571428571,6,0
0.48605776178139953,0.25581987462178923,-0.2302378871596103,0.5263157894736842,1533.8,9.7394815791729,324.0,615.6,291.6,61.582963825619906,68.56788940935564,6.984925583735738,0.8728495150769325,0.4070453697417536,0.07954685942580397,0.7933026556511286,0.20096302815960337,0.09371726590744371,56,0.71875,0.391304347826087,8,0
1.4297122013105177,1.0997786163927057,-0.329933584917812,0.769230769230769,1964.2,12.720767872279643,108.0,140.4,32.400000000000006,39.24730305053938,42.96804441068829,3.7207413601489137,0.8671543039766817,0.39494892293183076,0.07593652188880137,0.7912177820878803,0.28610332818793666,0.13030691400232758,72,0.9081632653061225,0.10112359550561797,4,0
1.9674268582221066,1.5134052755554666,-0.45402158266664006,0.7692307692307692,1964.2,9.244072764906754,108.0,140.4,32.400000000000006,48.34654502182331,52.04031804355234,3.6937730217290294,0.872802055701389,0.40694217860211007,0.07951555959125824,0.7932864961101308,0.39627097068424155,0.18476053198274053,72,0.9081632653061225,0.10112359550561797,4,0
0.7841835090982098,0.49011469318638107,-0.2940688159118287,0.625,1749.0,10.325672662427973,216.0,345.6,129.60000000000002,54.909157029685446,60.95077277259167,6.041615742906224,0.8625224448162131,0.38551969657422946,0.07320211653432349,0.7893203282818896,0.2536409540444794,0.11336932068227114,64,0.8144329896907216,0.22784810126582278,6,0
1.1060259190426587,0.6912661994016616,-0.4147597196409971,0.6249999999999999,3094.0,12.950938877158091,216.0,345.6,129.60000000000002,48.613504781595985,55.13701776942031,6.523512987824326,0.8112342918706008,0.3005805642779115,0.05132631140480962,0.7599079804657912,0.3364673074594132,0.12466871056943929,114,0.8902439024390244,0.1232876712328767,8,0
1.25547139105394,0.7846696194087123,-0.47080177164522763,0.6249999999999999,3094.0,11.409319380865652,216.0,345.6,129.60000000000002,52.17760099740648,58.461574470803264,6.2839734733967845,0.8116419127284922,0.30114093614525267,0.05145618572199909,0.7601857270064931,0.3821224504540953,0.1417776862520873,114,0.8902439024390244,0.1232876712328767,8,0
